timestamp,aX,aY,aZ,label
2026-06-18 00:25:00,16628,-296,-1832,awake
2026-06-18 00:25:00,16620,-392,-1616,awake
2026-06-18 00:25:00,16944,-332,-1596,awake
2026-06-18 00:25:00,16548,168,-2292,awake
2026-06-18 00:25:00,16548,-96,-1800,awake
2026-06-18 00:25:00,16636,-412,-1184,awake
2026-06-18 00:25:00,16620,-288,-1508,awake
2026-06-18 00:25:00,16600,-524,-1324,awake
2026-06-18 00:25:00,16656,-436,-1360,awake
2026-06-18 00:25:00,16640,-468,-1444,awake
2026-06-18 00:25:00,16676,-356,-1356,awake
2026-06-18 00:25:00,16560,-452,-1456,awake
2026-06-18 00:25:00,16660,-440,-1516,awake
2026-06-18 00:25:00,16668,-412,-1396,awake
2026-06-18 00:25:00,16696,-384,-1528,awake
2026-06-18 00:25:00,16680,-404,-1424,awake
2026-06-18 00:25:00,16648,-472,-1492,awake
2026-06-18 00:25:00,16660,-452,-1564,awake
2026-06-18 00:25:00,16644,-484,-1340,awake
2026-06-18 00:25:00,16680,-428,-1452,awake
2026-06-18 00:25:00,16704,-412,-1488,awake
2026-06-18 00:25:00,16560,-452,-1488,awake
2026-06-18 00:25:00,16676,-452,-1492,awake
2026-06-18 00:25:00,16704,-420,-1444,awake
2026-06-18 00:25:00,16660,-472,-1500,awake
2026-06-18 00:25:00,16612,-448,-1528,awake
2026-06-18 00:25:00,16648,-404,-1476,awake
2026-06-18 00:25:00,16700,-420,-1432,awake
2026-06-18 00:25:00,16664,-404,-1472,awake
2026-06-18 00:25:00,16684,-440,-1432,awake
2026-06-18 00:25:00,16712,-464,-1400,awake
2026-06-18 00:25:00,16652,-452,-1480,awake
2026-06-18 00:25:00,16644,-428,-1476,awake
2026-06-18 00:25:00,16636,-496,-1488,awake
2026-06-18 00:25:00,16636,-480,-1484,awake
2026-06-18 00:25:00,16644,-464,-1476,awake
2026-06-18 00:25:00,16608,-416,-1512,awake
2026-06-18 00:25:00,16612,-488,-1472,awake
2026-06-18 00:25:00,16620,-496,-1388,awake
2026-06-18 00:25:00,16652,-484,-1444,awake
2026-06-18 00:25:00,16660,-488,-1468,awake
2026-06-18 00:25:00,16652,-492,-1540,awake
2026-06-18 00:25:00,16644,-444,-1408,awake
2026-06-18 00:25:00,16644,-420,-1436,awake
2026-06-18 00:25:00,16672,-492,-1484,awake
2026-06-18 00:25:00,16672,-456,-1436,awake
2026-06-18 00:25:00,16692,-412,-1396,awake
2026-06-18 00:25:00,16640,-432,-1372,awake
2026-06-18 00:25:00,16680,-432,-1464,awake
2026-06-18 00:25:00,16624,-448,-1484,awake
2026-06-18 00:25:00,16612,-436,-1384,awake
2026-06-18 00:25:00,16688,-464,-1384,awake
2026-06-18 00:25:00,16648,-368,-1540,awake
2026-06-18 00:25:00,16612,-492,-1336,awake
2026-06-18 00:25:00,16640,-428,-1528,awake
2026-06-18 00:25:00,16656,-444,-1488,awake
2026-06-18 00:25:00,16608,-424,-1508,awake
2026-06-18 00:25:00,16660,-472,-1532,awake
2026-06-18 00:25:00,16656,-456,-1388,awake
2026-06-18 00:25:00,16608,-444,-1428,awake
2026-06-18 00:25:00,16624,-444,-1500,awake
2026-06-18 00:25:00,16648,-464,-1512,awake
2026-06-18 00:25:00,16660,-464,-1448,awake
2026-06-18 00:25:00,16644,-400,-1432,awake
2026-06-18 00:25:00,16612,-368,-1448,awake
2026-06-18 00:25:00,16612,-444,-1444,awake
2026-06-18 00:25:00,16640,-388,-1464,awake
2026-06-18 00:25:00,16592,-400,-1444,awake
2026-06-18 00:25:00,16656,-452,-1504,awake
2026-06-18 00:25:00,16636,-440,-1468,awake
2026-06-18 00:25:00,16588,-452,-1568,awake
2026-06-18 00:25:00,16636,-408,-1472,awake
2026-06-18 00:25:00,16640,-484,-1608,awake
2026-06-18 00:25:00,16624,-488,-1448,awake
2026-06-18 00:25:00,16692,-480,-1436,awake
2026-06-18 00:25:00,16660,-464,-1472,awake
2026-06-18 00:25:00,16692,-520,-1356,awake
2026-06-18 00:25:00,16656,-500,-1508,awake
2026-06-18 00:25:00,16544,-484,-1632,awake
2026-06-18 00:25:00,16604,-452,-1476,awake
2026-06-18 00:25:00,16648,-444,-1316,awake
2026-06-18 00:25:00,16716,-496,-1456,awake
2026-06-18 00:25:00,16636,-496,-1444,awake
2026-06-18 00:25:00,16624,-416,-1448,awake
2026-06-18 00:25:00,16672,-488,-1424,awake
2026-06-18 00:25:00,16616,-476,-1508,awake
2026-06-18 00:25:00,16644,-492,-1424,awake
2026-06-18 00:25:00,16592,-472,-1452,awake
2026-06-18 00:25:00,16676,-420,-1460,awake
2026-06-18 00:26:00,16608,-460,-1452,awake
2026-06-18 00:26:00,16828,-448,-1104,awake
2026-06-18 00:26:00,17076,-172,-428,awake
2026-06-18 00:26:00,16612,-540,-1572,awake
2026-06-18 00:26:00,16728,-504,-1536,awake
2026-06-18 00:26:00,16620,-448,-1496,awake
2026-06-18 00:26:00,16600,-420,-1456,awake
2026-06-18 00:26:00,16668,-492,-1488,awake
2026-06-18 00:26:00,16628,-452,-1444,awake
2026-06-18 00:26:00,16656,-408,-1464,awake
2026-06-18 00:26:00,16612,-460,-1432,awake
2026-06-18 00:26:00,16660,-392,-1464,awake
2026-06-18 00:26:00,16648,-500,-1492,awake
2026-06-18 00:26:00,16680,-512,-1500,awake
2026-06-18 00:26:00,16608,-456,-1504,awake
2026-06-18 00:26:00,16660,-452,-1512,awake
2026-06-18 00:26:00,16640,-428,-1500,awake
2026-06-18 00:26:00,16632,-472,-1588,awake
2026-06-18 00:26:00,16668,-468,-1572,awake
2026-06-18 00:26:00,16632,-464,-1496,awake
2026-06-18 00:26:00,16680,-424,-1480,awake
2026-06-18 00:26:00,16724,-444,-1524,awake
2026-06-18 00:26:00,16664,-480,-1468,awake
2026-06-18 00:26:00,16604,-496,-1584,awake
2026-06-18 00:26:00,16636,-496,-1504,awake
2026-06-18 00:26:00,16648,-492,-1532,awake
2026-06-18 00:26:00,16628,-504,-1408,awake
2026-06-18 00:26:00,16704,-500,-1552,awake
2026-06-18 00:26:00,16684,-376,-1532,awake
2026-06-18 00:26:00,16652,-440,-1492,awake
2026-06-18 00:26:00,16680,-480,-1436,awake
2026-06-18 00:26:00,16656,-496,-1400,awake
2026-06-18 00:26:00,16672,-468,-1520,awake
2026-06-18 00:26:00,16656,-476,-1516,awake
2026-06-18 00:26:00,16744,-472,-1400,awake
2026-06-18 00:26:00,16632,-420,-1436,awake
2026-06-18 00:26:00,16652,-476,-1512,awake
